timestamp,ghi,dhi,dni,temp_air,wind_speed,relative_humidity,shading_ratio,avg_ghi_agrivoltaic,soil_moisture,power_output,dli_open,dli_agri,et_open,et_agri,water_savings,daily_production,ghi_open_field_w_m2,ghi_agrivoltaic_w_m2,temp_open_field_c,temp_agrivoltaic_c,wind_speed_m_s,relative_humidity_percent,panel_tilt_degrees
2022-01-01 00:00:00+00:00,0.0,0.0,0.0,7.57,2.83,70.98,0.0,0.0,48.486,0.0,14.2875,11.8131,2.1263,1.9788,0.1475,0.7767,0.0,0.0,7.57,6.37,2.83,70.98,0.0
2022-01-01 01:00:00+00:00,0.0,0.0,0.0,7.46,2.77,71.49,0.0,0.0,48.508,0.0,14.2875,11.8131,2.1263,1.9788,0.1475,0.7767,0.0,0.0,7.46,6.26,2.77,71.49,0.0
2022-01-01 02:00:00+00:00,0.0,0.0,0.0,7.35,2.71,71.99,0.0,0.0,48.53,0.0,14.2875,11.8131,2.1263,1.9788,0.1475,0.7767,0.0,0.0,7.35,6.15,2.71,71.99,0.0
2022-01-01 03:00:00+00:00,0.0,0.0,0.0,7.23,2.65,72.49,0.0,0.0,48.554,0.0,14.2875,11.8131,2.1263,1.9788,0.1475,0.7767,0.0,0.0,7.23,6.03,2.65,72.49,0.0
2022-01-01 04:00:00+00:00,0.0,0.0,0.0,7.12,2.59,72.99,0.0,0.0,48.576,0.0,14.2875,11.8131,2.1263,1.9788,0.1475,0.7767,0.0,0.0,7.12,5.92,2.59,72.99,0.0
2022-01-01 05:00:00+00:00,0.0,0.0,0.0,7.01,2.53,73.5,0.0,0.0,48.598,0.0,14.2875,11.8131,2.1263,1.9788,0.1475,0.7767,0.0,0.0,7.01,5.81,2.53,73.5,0.0
2022-01-01 06:00:00+00:00,0.0,0.0,0.0,6.89,2.46,74.0,0.0,0.0,48.622,0.0,14.2875,11.8131,2.1263,1.9788,0.1475,0.7767,0.0,0.0,6.89,5.69,2.46,74.0,0.0
2022-01-01 07:00:00+00:00,68.0,35.0,326.41,6.78,2.4,74.5,0.0,68.0,48.508,0.0286,14.2875,11.8131,2.1263,1.9788,0.1475,0.7767,68.0,68.0,6.78,5.58,2.4,74.5,5.806655773274581
2022-01-01 08:00:00+00:00,221.0,64.0,645.83,6.6,2.97,65.85,0.0,221.0,48.238,0.0521,14.2875,11.8131,2.1263,1.9788,0.1475,0.7767,221.0,221.0,6.6,5.4,2.97,65.85,22.94513082822557
2022-01-01 09:00:00+00:00,339.0,89.0,712.14,7.09,3.38,61.0,0.0,339.0,47.904,0.0722,14.2875,11.8131,2.1263,1.9788,0.1475,0.7767,339.0,314.0,7.09,5.89,3.38,61.0,55.00000000000001
2022-01-01 10:00:00+00:00,416.0,101.0,754.28,7.83,3.24,58.8,0.2,353.0,49.602,0.0816,14.2875,11.8131,2.1263,1.9788,0.1475,0.7767,416.0,283.7,7.83,6.63,3.24,58.8,32.73846889314216
2022-01-01 11:00:00+00:00,439.0,104.0,764.42,8.49,3.17,52.6,0.4,305.0,51.424,0.3117,14.2875,11.8131,2.1263,1.9788,0.1475,0.7767,439.0,278.2,8.49,7.29,3.17,52.6,3.416929043828622
2022-01-01 12:00:00+00:00,408.0,100.0,748.42,8.95,3.03,48.8,0.44,272.48,51.794,0.0805,14.2875,11.8131,2.1263,1.9788,0.1475,0.7767,408.0,309.44,8.95,7.749999999999999,3.03,48.8,26.872261233722377
2022-01-01 13:00:00+00:00,322.0,90.0,683.76,9.17,2.97,46.95,0.22,270.96,49.722,0.0724,14.2875,11.8131,2.1263,1.9788,0.1475,0.7767,322.0,322.0,9.17,7.97,2.97,46.95,50.89639098238004
2022-01-01 14:00:00+00:00,194.0,67.0,560.77,8.98,2.83,45.15,0.0,194.0,47.816,0.0541,14.2875,11.8131,2.1263,1.9788,0.1475,0.7767,194.0,194.0,8.98,7.78,2.83,45.15,28.897462403701144
2022-01-01 15:00:00+00:00,42.0,29.0,161.01,8.37,2.48,45.0,0.0,42.0,48.242,0.0235,14.2875,11.8131,2.1263,1.9788,0.1475,0.7767,42.0,42.0,8.37,7.169999999999999,2.48,45.0,8.875424266596353
2022-01-01 16:00:00+00:00,0.0,0.0,0.0,7.48,2.62,46.55,0.0,0.0,48.504,0.0,14.2875,11.8131,2.1263,1.9788,0.1475,0.7767,0.0,0.0,7.48,6.28,2.62,46.55,0.0
2022-01-01 17:00:00+00:00,0.0,0.0,0.0,6.72,2.9,50.2,0.0,0.0,48.656,0.0,14.2875,11.8131,2.1263,1.9788,0.1475,0.7767,0.0,0.0,6.72,5.52,2.9,50.2,0.0
2022-01-01 18:00:00+00:00,0.0,0.0,0.0,6.07,3.17,52.1,0.0,0.0,48.786,0.0,14.2875,11.8131,2.1263,1.9788,0.1475,0.7767,0.0,0.0,6.07,4.87,3.17,52.1,0.0
2022-01-01 19:00:00+00:00,0.0,0.0,0.0,6.05,3.24,50.05,0.0,0.0,48.79,0.0,14.2875,11.8131,2.1263,1.9788,0.1475,0.7767,0.0,0.0,6.05,4.85,3.24,50.05,0.0
2022-01-01 20:00:00+00:00,0.0,0.0,0.0,5.67,3.17,54.05,0.0,0.0,48.866,0.0,14.2875,11.8131,2.1263,1.9788,0.1475,0.7767,0.0,0.0,5.67,4.47,3.17,54.05,0.0
